ID,Title,Epic,Milestone,Priority,Size,Type,Status,Blocked by,Labels,Outcome,Local brief,Issue body
HUD-016,"Implement HUD initialize, update, render, resize, and dispose semantics",E02,M1,P0,XL,task,planned,"HUD-007, HUD-012, HUD-015","area:core, area:lifecycle, epic:E02, milestone:M1, priority:P0, size:XL, type:task","The host can explicitly initialize, resize, update, render, suspend, resume, and dispose the HUD with no hidden loop, global listener, or ambiguous async state.",planning/tickets/E02/HUD-016-implement-hud-initialize-update-render-resize-and-dispose-semantics.md,planning/github/issue-bodies/HUD-016.md
HUD-017,"Guarantee deterministic ordering, stable IDs, and debug metadata",E02,M1,P1,M,task,planned,"HUD-013, HUD-015, HUD-016","area:core, area:diagnostics, epic:E02, milestone:M1, priority:P1, size:M, type:task","Repeated runs produce stable traversal, layout, render, hit-test, and snapshot ordering, and every debug record can identify its source node without exposing internal object graphs.",planning/tickets/E02/HUD-017-guarantee-deterministic-ordering-stable-ids-and-debug-metadata.md,planning/github/issue-bodies/HUD-017.md
HUD-018,Implement logical reference resolution and viewport transforms,E03,M1,P0,L,task,planned,"HUD-012, HUD-015","area:math, area:viewport, epic:E03, milestone:M1, priority:P0, size:L, type:task","Each layer maps a logical design coordinate system into a host viewport through a pure, inspectable transform that does not depend on camera distance or game-scene units.",planning/tickets/E03/HUD-018-implement-logical-reference-resolution-and-viewport-transforms.md,planning/github/issue-bodies/HUD-018.md
HUD-019,"Implement contain, cover, native, and stretch scale modes",E03,M1,P0,M,task,planned,HUD-018,"area:viewport, epic:E03, milestone:M1, priority:P0, size:M, type:task",The viewport offers the four continuous scale policies needed for common HUD and full-screen interface layouts with explicit letterbox/crop behavior.,planning/tickets/E03/HUD-019-implement-contain-cover-native-and-stretch-scale-modes.md,planning/github/issue-bodies/HUD-019.md
HUD-020,Implement integer scaling and device-pixel snapping,E03,M1,P0,L,task,planned,"HUD-018, HUD-019","area:pixel, area:viewport, epic:E03, milestone:M1, priority:P0, size:L, type:task","Pixel-art layers can select a documented integer scale and snap origins, lines, glyph advances, and clip bounds to physical pixels without affecting smooth layers.",planning/tickets/E03/HUD-020-implement-integer-scaling-and-device-pixel-snapping.md,planning/github/issue-bodies/HUD-020.md
HUD-021,"Add safe insets, letterbox bounds, and independent HUD zoom",E03,M1,P1,M,task,planned,"HUD-018, HUD-019","area:accessibility, area:viewport, epic:E03, milestone:M1, priority:P1, size:M, type:task","Layouts can target a safe logical frame, inspect letterbox/crop regions, and apply user HUD scaling independently from the game camera or browser DPR.",planning/tickets/E03/HUD-021-add-safe-insets-letterbox-bounds-and-independent-hud-zoom.md,planning/github/issue-bodies/HUD-021.md
HUD-022,"Synchronize CSS size, drawing-buffer size, DPR, and multi-viewport state",E03,M1,P0,L,task,planned,"HUD-006, HUD-018","area:renderer, area:viewport, epic:E03, milestone:M1, priority:P0, size:L, type:task",The HUD distinguishes logical canvas size from physical drawing-buffer size and can render into a supplied viewport/scissor without resizing or taking ownership of the host canvas.,planning/tickets/E03/HUD-022-synchronize-css-size-drawing-buffer-size-dpr-and-multi-viewport-state.md,planning/github/issue-bodies/HUD-022.md
HUD-023,"Provide authoritative screen, viewport, layer, logical, and device coordinate conversions",E03,M1,P0,M,task,planned,"HUD-018, HUD-020, HUD-022","area:input, area:math, area:viewport, epic:E03, milestone:M1, priority:P0, size:M, type:task","Rendering, snapping, clipping, and pointer input use one conversion boundary rather than reimplementing coordinate math in each subsystem.",planning/tickets/E03/HUD-023-provide-authoritative-screen-viewport-layer-logical-and-device-coordinate-conver.md,planning/github/issue-bodies/HUD-023.md
HUD-024,"Define draw commands, render queue ordering, and batch keys",E04,M1,P0,L,task,planned,"HUD-012, HUD-017","area:architecture, area:render, epic:E04, milestone:M1, priority:P0, size:L, type:task",All primitives and text backends emit a bounded canonical draw-command stream that can be sorted and batched without widgets knowing Three.js materials or meshes.,planning/tickets/E04/HUD-024-define-draw-commands-render-queue-ordering-and-batch-keys.md,planning/github/issue-bodies/HUD-024.md
HUD-025,Implement the Three.js overlay adapter with complete state restoration,E04,M1,P0,XL,task,planned,"HUD-007, HUD-016, HUD-024","area:render, area:three, epic:E04, milestone:M1, priority:P0, size:XL, type:task",The production render adapter turns canonical draw batches into a Three.js overlay pass on the supported renderer matrix while preserving host state and reporting capability failure.,planning/tickets/E04/HUD-025-implement-the-three-js-overlay-adapter-with-complete-state-restoration.md,planning/github/issue-bodies/HUD-025.md
HUD-026,"Implement shared quad geometry, instance buffers, material cache, and resource pools",E04,M1,P0,L,task,planned,"HUD-024, HUD-025","area:performance, area:render, epic:E04, milestone:M1, priority:P0, size:L, type:task",Rectangular and shader-defined primitives reuse bounded GPU resources and update instance data without allocating one Three.js mesh/material per HUD element.,planning/tickets/E04/HUD-026-implement-shared-quad-geometry-instance-buffers-material-cache-and-resource-pool.md,planning/github/issue-bodies/HUD-026.md
HUD-027,"Implement Rect, RoundedRect, and Line primitives",E04,M1,P0,L,task,planned,"HUD-014, HUD-026","area:primitives, area:render, epic:E04, milestone:M1, priority:P0, size:L, type:task","The public primitive set can draw filled/stroked rectangles, rounded rectangles, and axis-aligned or arbitrary two-point lines through the shared batch pipeline.",planning/tickets/E04/HUD-027-implement-rect-roundedrect-and-line-primitives.md,planning/github/issue-bodies/HUD-027.md
HUD-028,Implement Image and NineSlice primitives,E04,M1,P1,L,task,planned,"HUD-026, HUD-027","area:assets, area:primitives, epic:E04, milestone:M1, priority:P1, size:L, type:task","HUDs can draw icons, item artwork, sprites, and scalable panel skins with explicit texture ownership, filtering, UV, tint, and nine-slice policies.",planning/tickets/E04/HUD-028-implement-image-and-nineslice-primitives.md,planning/github/issue-bodies/HUD-028.md
HUD-029,"Implement Arc, Ring, segmented progress, and tick geometry",E04,M1,P1,L,task,planned,"HUD-026, HUD-027","area:primitives, area:radial, epic:E04, milestone:M1, priority:P1, size:L, type:task","Circular bars, gauges, cooldowns, and reticles can be composed from a shader-driven ring primitive with bounded segment and tick options.",planning/tickets/E04/HUD-029-implement-arc-ring-segmented-progress-and-tick-geometry.md,planning/github/issue-bodies/HUD-029.md
HUD-030,"Implement rectangular clip propagation, opacity, blend, and color policy",E04,M1,P0,XL,task,planned,"HUD-024, HUD-025, HUD-027, HUD-028, HUD-029","area:clipping, area:render, epic:E04, milestone:M1, priority:P0, risk:high, size:XL, type:task","Nested HUD content can be clipped and composited predictably across shapes, images, and every text backend without relying on arbitrary masks or leaking renderer state.",planning/tickets/E04/HUD-030-implement-rectangular-clip-propagation-opacity-blend-and-color-policy.md,planning/github/issue-bodies/HUD-030.md
HUD-031,Create the primitive regression suite and initial draw-call budgets,E04,M1,P0,M,quality,planned,"HUD-025, HUD-026, HUD-027, HUD-028, HUD-029, HUD-030","area:primitives, area:quality, epic:E04, milestone:M1, priority:P0, size:M, type:quality","Every primitive has deterministic visual scenarios and the core-alpha showcase stays within explicit draw-call, material, geometry, and allocation budgets.",planning/tickets/E04/HUD-031-create-the-primitive-regression-suite-and-initial-draw-call-budgets.md,planning/github/issue-bodies/HUD-031.md
HUD-032,"Define FontSource, FontMetadata, pixel policy, and license records",E05,M2,P0,M,task,planned,"HUD-006, HUD-012","area:fonts, area:legal, area:text, epic:E05, milestone:M2, priority:P0, size:M, type:task","Fonts enter the library through one explicit, non-CSS resource contract that supports URL, ArrayBuffer, typed bytes, preprocessed assets, pixel metadata, and per-font license/provenance records.",planning/tickets/E05/HUD-032-define-fontsource-fontmetadata-pixel-policy-and-license-records.md,planning/github/issue-bodies/HUD-032.md
HUD-033,"Implement FontRegistry loading, abort, deduplication, and resource ownership",E05,M2,P0,L,task,planned,"HUD-016, HUD-032","area:resources, area:text, epic:E05, milestone:M2, priority:P0, size:L, type:task","Fonts load once per canonical key, expose stable handles and state snapshots, support cancellation/stale-result suppression, and release backend resources according to explicit ownership.",planning/tickets/E05/HUD-033-implement-fontregistry-loading-abort-deduplication-and-resource-ownership.md,planning/github/issue-bodies/HUD-033.md
HUD-034,Define canonical GlyphRun and TextBackend capability contracts,E05,M2,P0,L,task,planned,"HUD-012, HUD-032","area:api, area:text, epic:E05, milestone:M2, priority:P0, size:L, type:task","Text layout produces backend-neutral glyph runs and each backend advertises precise rendering capabilities, supported renderer modes, limits, and rejection reasons.",planning/tickets/E05/HUD-034-define-canonical-glyphrun-and-textbackend-capability-contracts.md,planning/github/issue-bodies/HUD-034.md
HUD-035,"Implement canonical text style, measurement, and cache keys",E05,M2,P0,M,task,planned,"HUD-032, HUD-033, HUD-034","area:performance, area:text, epic:E05, milestone:M2, priority:P0, size:M, type:task",Text size and layout invalidation are derived from a normalized style contract and deterministic measurement cache rather than backend-specific objects or stringified arbitrary options.,planning/tickets/E05/HUD-035-implement-canonical-text-style-measurement-and-cache-keys.md,planning/github/issue-bodies/HUD-035.md
HUD-036,"Implement basic LTR shaping, kerning, multiline layout, wrapping, and alignment",E05,M2,P0,XL,task,planned,"HUD-033, HUD-034, HUD-035","area:layout, area:text, epic:E05, milestone:M2, priority:P0, size:XL, type:task","The built-in v0.1 text layout engine produces canonical glyph runs for common left-to-right UI text with kerning, explicit lines, wrapping, horizontal alignment, and deterministic metrics.",planning/tickets/E05/HUD-036-implement-basic-ltr-shaping-kerning-multiline-layout-wrapping-and-alignment.md,planning/github/issue-bodies/HUD-036.md
HUD-037,"Implement fallback fonts, missing-glyph policy, and text diagnostics",E05,M2,P1,L,task,planned,"HUD-033, HUD-036","area:diagnostics, area:text, epic:E05, milestone:M2, priority:P1, size:L, type:task","Missing glyphs and unsupported scripts resolve through an explicit fallback chain or visible replacement policy, with diagnostics that identify the affected code points and capability boundary.",planning/tickets/E05/HUD-037-implement-fallback-fonts-missing-glyph-policy-and-text-diagnostics.md,planning/github/issue-bodies/HUD-037.md
HUD-038,Create the shared text-backend conformance and dirty-update harness,E05,M2,P0,L,quality,planned,"HUD-014, HUD-034, HUD-035, HUD-036, HUD-037","area:quality, area:text, epic:E05, milestone:M2, priority:P0, size:L, type:quality","Every backend runs the same contract suite for font preparation, glyph runs, update categories, clipping, opacity, resource ownership, failures, and disposal.",planning/tickets/E05/HUD-038-create-the-shared-text-backend-conformance-and-dirty-update-harness.md,planning/github/issue-bodies/HUD-038.md
HUD-039,Implement the Windfoil analytic text adapter behind its approved exposure level,E06,M2,P0,XL,task,planned,"HUD-011, HUD-034, HUD-038","area:text, backend:windfoil, epic:E06, milestone:M2, priority:P0, risk:high, size:XL, type:task","The approved Windfoil-derived implementation is available only through `@scope/three-hud/text/windfoil`, implements the canonical backend contract, and remains absent from the main bundle unless explicitly imported.",planning/tickets/E06/HUD-039-implement-the-windfoil-analytic-text-adapter-behind-its-approved-exposure-level.md,planning/github/issue-bodies/HUD-039.md
HUD-040,"Implement Windfoil glyph atlas growth, reuse, updates, and memory diagnostics",E06,M2,P1,XL,task,planned,"HUD-033, HUD-039","area:performance, area:text, backend:windfoil, epic:E06, milestone:M2, priority:P1, size:XL, type:task","The analytic backend can add glyphs on demand, reuse repeated glyph data, update instance runs, and report bounded CPU/GPU atlas memory without rebuilding every font on each label change.",planning/tickets/E06/HUD-040-implement-windfoil-glyph-atlas-growth-reuse-updates-and-memory-diagnostics.md,planning/github/issue-bodies/HUD-040.md
HUD-041,"Harden Windfoil failure, device-loss, minification, and performance behavior",E06,M2,P0,L,quality,planned,"HUD-039, HUD-040","area:quality, area:text, backend:windfoil, epic:E06, milestone:M2, priority:P0, size:L, type:quality","The analytic backend has explicit limits, graceful failure, device-loss behavior, and regression budgets instead of being treated as successful because one demo renders.",planning/tickets/E06/HUD-041-harden-windfoil-failure-device-loss-minification-and-performance-behavior.md,planning/github/issue-bodies/HUD-041.md
HUD-042,Implement an isolated SDF text adapter as the compatibility baseline,E06,M2,P0,XL,task,planned,"HUD-034, HUD-038","area:text, backend:sdf, epic:E06, milestone:M2, priority:P0, risk:high, size:XL, type:task","A separately imported SDF backend provides the stable WebGL-oriented baseline through the same contract, initially wrapping a proven implementation without leaking its classes into public widgets or core types.",planning/tickets/E06/HUD-042-implement-an-isolated-sdf-text-adapter-as-the-compatibility-baseline.md,planning/github/issue-bodies/HUD-042.md
HUD-043,"Define SDF atlas lifecycle, capability truth, and fallback policy",E06,M2,P1,L,quality,planned,HUD-042,"area:resources, area:text, backend:sdf, epic:E06, milestone:M2, priority:P1, size:L, type:quality","SDF font preparation, worker/atlas readiness, fallback fonts, and disposal are observable and do not introduce hidden global state or overstate shaping support.",planning/tickets/E06/HUD-043-define-sdf-atlas-lifecycle-capability-truth-and-fallback-policy.md,planning/github/issue-bodies/HUD-043.md
HUD-044,"Implement bitmap-font manifests, prebuilt atlases, and runtime rasterization",E06,M2,P0,XL,task,planned,"HUD-032, HUD-033, HUD-034, HUD-038","area:pixel, area:text, backend:bitmap, epic:E06, milestone:M2, priority:P0, size:XL, type:task",Pixel-oriented fonts can render through a compact bitmap backend using either a licensed prebuilt atlas or a runtime-rasterized approved font at a declared native pixel size.,planning/tickets/E06/HUD-044-implement-bitmap-font-manifests-prebuilt-atlases-and-runtime-rasterization.md,planning/github/issue-bodies/HUD-044.md
HUD-045,"Enforce bitmap integer scaling, nearest filtering, and mixed-backend parity",E06,M2,P0,L,quality,planned,"HUD-020, HUD-030, HUD-044","area:quality, area:text, backend:bitmap, epic:E06, milestone:M2, priority:P0, size:L, type:quality","Bitmap text remains physically crisp under the declared pixel policy, and smooth plus pixel text can coexist in one HUD without sharing an invalid scale or filtering assumption.",planning/tickets/E06/HUD-045-enforce-bitmap-integer-scaling-nearest-filtering-and-mixed-backend-parity.md,planning/github/issue-bodies/HUD-045.md
HUD-046,Implement the two-pass layout box and measurement model,E07,M2,P0,XL,task,planned,"HUD-014, HUD-018, HUD-035, HUD-038","area:core, area:layout, epic:E07, milestone:M2, priority:P0, size:XL, type:task","Nodes resolve content measurement and final layout through a small deterministic two-pass model that supports fixed, auto, and fill dimensions without recreating browser Flexbox.",planning/tickets/E07/HUD-046-implement-the-two-pass-layout-box-and-measurement-model.md,planning/github/issue-bodies/HUD-046.md
HUD-047,"Implement absolute layout, anchors, pivots, and safe-frame offsets",E07,M2,P0,L,task,planned,"HUD-021, HUD-023, HUD-046","area:layout, area:viewport, epic:E07, milestone:M2, priority:P0, size:L, type:task","Screen-corner, edge, center, and custom-anchor placement works against the layer reference/safe frame with explicit pivot and offset semantics.",planning/tickets/E07/HUD-047-implement-absolute-layout-anchors-pivots-and-safe-frame-offsets.md,planning/github/issue-bodies/HUD-047.md
HUD-048,Implement horizontal and vertical Stack layout with spacing and alignment,E07,M2,P0,L,task,planned,HUD-046,"area:layout, epic:E07, milestone:M2, priority:P0, size:L, type:task","HUD panels can arrange children in a predictable row or column with padding, margin, gap, cross-axis alignment, and fixed/auto/fill child sizes.",planning/tickets/E07/HUD-048-implement-horizontal-and-vertical-stack-layout-with-spacing-and-alignment.md,planning/github/issue-bodies/HUD-048.md
HUD-049,"Implement fixed Grid layout, content sizing, and min/max constraints",E07,M2,P1,L,task,planned,"HUD-046, HUD-048","area:layout, area:widgets, epic:E07, milestone:M2, priority:P1, size:L, type:task","Inventory and hotbar layouts can use a fixed row/column grid with cell size, gap, padding, span policy, and bounded content sizing.",planning/tickets/E07/HUD-049-implement-fixed-grid-layout-content-sizing-and-minmax-constraints.md,planning/github/issue-bodies/HUD-049.md
HUD-050,"Integrate clipping propagation, layout diagnostics, and regression matrices",E07,M2,P0,L,quality,planned,"HUD-030, HUD-046, HUD-047, HUD-048, HUD-049","area:layout, area:quality, epic:E07, milestone:M2, priority:P0, size:L, type:quality","Resolved layout boxes drive effective clips, hit bounds, and visual diagnostics consistently, and the complete layout matrix is protected by snapshots.",planning/tickets/E07/HUD-050-integrate-clipping-propagation-layout-diagnostics-and-regression-matrices.md,planning/github/issue-bodies/HUD-050.md
HUD-051,Implement canvas pointer mapping and a deterministic hit-test index,E08,M3,P0,XL,task,planned,"HUD-017, HUD-023, HUD-050","area:input, area:viewport, epic:E08, milestone:M3, priority:P0, size:XL, type:task",Pointer positions from the host canvas map into the correct layer/logical space and resolve the highest eligible interactive node through bounds and clip-aware hit testing.,planning/tickets/E08/HUD-051-implement-canvas-pointer-mapping-and-a-deterministic-hit-test-index.md,planning/github/issue-bodies/HUD-051.md
HUD-052,"Implement pointer event propagation, hover/press/click, and capture",E08,M3,P0,XL,task,planned,HUD-051,"area:events, area:input, epic:E08, milestone:M3, priority:P0, size:XL, type:task","Interactive nodes receive deterministic capture/target/bubble pointer events and state transitions, including pointer capture and cancellation, without owning application state.",planning/tickets/E08/HUD-052-implement-pointer-event-propagation-hoverpressclick-and-capture.md,planning/github/issue-bodies/HUD-052.md
HUD-053,"Implement pointerEvents policy, disabled/pass-through behavior, and interaction styles",E08,M3,P1,L,task,planned,"HUD-052, HUD-055","area:input, area:theme, epic:E08, milestone:M3, priority:P1, size:L, type:task","Containers and widgets can opt out, intercept only their box, allow child-only interaction, or pass through entirely, while disabled/hovered/pressed/selected states feed theme resolution.",planning/tickets/E08/HUD-053-implement-pointerevents-policy-disabledpass-through-behavior-and-interaction-sty.md,planning/github/issue-bodies/HUD-053.md
HUD-054,Create deterministic input tests and interactive debug tooling,E08,M3,P0,M,quality,planned,"HUD-051, HUD-052, HUD-053","area:input, area:quality, epic:E08, milestone:M3, priority:P0, size:M, type:quality","Pointer behavior can be inspected and reproduced through scripted event sequences, hit-region overlays, target paths, and state logs rather than manual clicking alone.",planning/tickets/E08/HUD-054-create-deterministic-input-tests-and-interactive-debug-tooling.md,planning/github/issue-bodies/HUD-054.md
HUD-055,"Implement serializable themes, token resolution, and state styles",E09,M3,P0,L,task,planned,"HUD-012, HUD-014, HUD-052","area:theme, area:widgets, epic:E09, milestone:M3, priority:P0, size:L, type:task","Widgets and primitives can resolve colors, typography, spacing, radii, strokes, and interaction-state overrides from plain serializable theme objects without CSS or a runtime styling framework.",planning/tickets/E09/HUD-055-implement-serializable-themes-token-resolution-and-state-styles.md,planning/github/issue-bodies/HUD-055.md
HUD-056,"Implement Panel, Label, and IconLabel compositions",E09,M3,P0,L,task,planned,"HUD-027, HUD-028, HUD-036, HUD-048, HUD-055","area:widgets, epic:E09, milestone:M3, priority:P0, size:L, type:task","The foundational content widgets compose panel backgrounds, borders, nine-slice skins, images, and text while exposing predictable layout and theme APIs.",planning/tickets/E09/HUD-056-implement-panel-label-and-iconlabel-compositions.md,planning/github/issue-bodies/HUD-056.md
HUD-057,"Implement LinearBar with segmented, delayed, and labeled variants",E09,M3,P0,L,task,planned,"HUD-027, HUD-030, HUD-055, HUD-056","area:bars, area:widgets, epic:E09, milestone:M3, priority:P0, size:L, type:task","Health, stamina, mana, loading, and ammunition bars can be represented through one compositional widget with normalized value, orientation, segments, label, and optional independently controlled delayed value.",planning/tickets/E09/HUD-057-implement-linearbar-with-segmented-delayed-and-labeled-variants.md,planning/github/issue-bodies/HUD-057.md
HUD-058,"Implement RadialBar and Gauge with ticks, labels, and needle",E09,M3,P1,XL,task,planned,"HUD-029, HUD-036, HUD-055, HUD-056","area:radial, area:widgets, epic:E09, milestone:M3, priority:P1, size:XL, type:task","Cooldowns, resource rings, speedometers, and gauges can be composed from the ring primitive plus optional ticks, labels, and a needle under one angle convention.",planning/tickets/E09/HUD-058-implement-radialbar-and-gauge-with-ticks-labels-and-needle.md,planning/github/issue-bodies/HUD-058.md
HUD-059,Implement Crosshair and reticle compositions,E09,M3,P1,L,task,planned,"HUD-027, HUD-029, HUD-055","area:reticle, area:widgets, epic:E09, milestone:M3, priority:P1, size:L, type:task","Games can construct center reticles with lines, dot, ring, brackets, spread, recoil offset, hit/target state, and native/pixel scaling without coupling to game-camera zoom.",planning/tickets/E09/HUD-059-implement-crosshair-and-reticle-compositions.md,planning/github/issue-bodies/HUD-059.md
HUD-060,Implement Slot and InventoryGrid,E09,M3,P0,XL,task,planned,"HUD-049, HUD-052, HUD-053, HUD-055, HUD-056","area:inventory, area:widgets, epic:E09, milestone:M3, priority:P0, size:XL, type:task","A fixed inventory can display item icon, frame, quantity, cooldown, rarity/state styling, selection, disabled/empty state, and pointer activation through reusable Slot widgets in Grid layout.",planning/tickets/E09/HUD-060-implement-slot-and-inventorygrid.md,planning/github/issue-bodies/HUD-060.md
HUD-061,"Implement Hotbar, selection frame, and quantity/shortcut badges",E09,M3,P1,L,task,planned,"HUD-048, HUD-052, HUD-053, HUD-055, HUD-060","area:inventory, area:widgets, epic:E09, milestone:M3, priority:P1, size:L, type:task","A horizontal or vertical hotbar reuses Slot composition while adding controlled active index, selection frame, shortcut badge, quantity badge, and compact navigation visuals.",planning/tickets/E09/HUD-061-implement-hotbar-selection-frame-and-quantityshortcut-badges.md,planning/github/issue-bodies/HUD-061.md
